"species","start_year","end_year","trend_type","trend","lci","uci","percent_change","p_ch_lci","p_ch_uci","prob_decline","prob_decline_GT30","prob_decline_GT50","prob_decline_GT70","mean_abundance","mean_observed","mean_n_surveys"
"Dunlin",1980,2002,"Previous-three-generation",-4.45328998299289,-6.85012700695631,-2.13895286369618,-63.4038434594005,-79.0101237476259,-37.8534629749825,0.99975,0.98975,0.8695,0.23275,13.2787213422826,55.2412346648483,768.04347826087
"Baird's Sandpiper",1980,2024,"Long-term",-0.785943928312655,-2.29443456755809,0.318913606702139,-27.262958158962,-63.9878281012321,15.0387348269488,0.88025,0.45425,0.14875,0.00675,0.309156917742222,5.71304368592528,436.8
"Baird's Sandpiper",2004,2024,"15-year",-1.45713380417999,-4.59454247164355,0.681564255004222,-22.2331472743539,-60.9640818058196,14.5510539911068,0.8645,0.37925,0.102,0.00425,0.282196293888095,4.54397141322567,301.190476190476
"Baird's Sandpiper",1980,1995,"First-15-year",-0.382911661177799,-3.60575925137908,2.09567272326162,-2.88448611550529,-42.3543804983929,36.4928892437536,0.601,0.0815,0.00875,0.00025,0.335254271109375,9.65814845573362,554.0625
"Baird's Sandpiper",2013,2024,"Recent-three-generation",-1.31587481075575,-5.24660354210818,1.61257149048308,-10.5236730263415,-44.7232310808935,19.2399715115129,0.7815,0.1425,0.011,0,0.2606440433875,3.87609541135105,270.916666666667
"Baird's Sandpiper",2002,2013,"Previous-three-generation",-1.38076650616301,-4.59130213093591,0.76766231104776,-12.2923341126966,-40.369609228465,8.77598365050746,0.86575,0.104,0.0015,0,0.3116139354375,4.5362651785526,374.333333333333
"Least Sandpiper",1980,2024,"Long-term",-1.42598966611507,-2.94797420474443,0.0478612918563588,-46.3848704775077,-73.1958141462998,2.12771304383276,0.97075,0.79225,0.423,0.04875,4.09272292592778,30.832237651131,967.355555555556
"Least Sandpiper",2004,2024,"15-year",-5.48056170977505,-8.58550137121993,-2.19433896032766,-67.6759666571947,-83.3926003271541,-35.8377058180482,0.9995,0.98525,0.90225,0.41425,3.41750806746429,18.2407147795797,889.52380952381
"Least Sandpiper",1980,1995,"First-15-year",2.47763633201191,-1.30112331052601,6.35112970733614,44.2040967550263,-17.8357018038391,151.844004121022,0.10825,0.00625,0,0,4.11770096796875,48.7732311262273,973
"Least Sandpiper",2013,2024,"Recent-three-generation",-5.1163702823964,-9.4342442227015,-0.846790189685484,-43.8934094256333,-66.3794985530974,-8.93016227923579,0.99175,0.80525,0.324,0.00825,2.50132446285417,17.3258098132125,801.25
"Least Sandpiper",2002,2013,"Previous-three-generation",-5.30653931675248,-8.73647114558978,-1.93912930699851,-45.1357408443082,-63.4177988274322,-19.3780690037018,1,0.8935,0.31225,0.00175,4.76197891583333,21.1976296718577,1028.08333333333
"White-rumped Sandpiper",1980,2024,"Long-term",-0.577798644884731,-1.98603533725568,0.783930320300807,-21.7228850957061,-58.6314687596652,40.9992469093852,0.80175,0.36875,0.08325,0.0025,2.17102225135,5.27072032472908,623.022222222222
"White-rumped Sandpiper",2004,2024,"15-year",-4.93959962865306,-8.34413725268882,-1.23322754894544,-63.9891233115026,-82.4932705975749,-21.9779623117512,0.997,0.954,0.80425,0.31725,1.9368771855119,4.51569543399151,586.52380952381
"White-rumped Sandpiper",1980,1995,"First-15-year",5.19601855995244,0.348743887150363,10.4502580984352,111.911677297422,5.36081197126814,344.12072149288,0.01375,0.00025,0,0,2.082510946875,4.30968021819316,627.25
"White-rumped Sandpiper",2013,2024,"Recent-three-generation",-6.05047968298773,-11.2227955666911,-0.869649813072358,-49.4321390032773,-73.0029620425279,-9.1608533457606,0.99225,0.86675,0.48475,0.051,1.50120254339583,3.31959291893334,523.916666666667
"White-rumped Sandpiper",2002,2013,"Previous-three-generation",-3.26004376857264,-6.39441829802027,-0.316224885735474,-30.3524699071167,-51.6586013444728,-3.42399303415044,0.98575,0.5115,0.03775,0,2.54949955770833,7.00912407126542,669.333333333333
"Buff-breasted Sandpiper",1980,2024,"Long-term",-3.08106973041697,-5.01497606746325,-1.25777138085192,-74.4598168217015,-89.6049637614724,-42.7034184839797,1,0.99275,0.94675,0.655,0.02623165957425,0.170794323368057,289.888888888889
"Buff-breasted Sandpiper",2004,2024,"15-year",-5.30329624884728,-9.42368021183014,-1.4084193480427,-66.1160727736021,-86.1868280739239,-24.6997202686583,0.996,0.96025,0.8165,0.39125,0.0163131580382738,0.0844558367453258,183.47619047619
"Buff-breasted Sandpiper",1980,1995,"First-15-year",-0.360789706309236,-4.24794303797896,3.49099607141657,-5.28353864416227,-47.8539107732059,67.3163977809876,0.57025,0.15275,0.01575,5e-04,0.0363559674251562,0.284688674859114,390.375
"Buff-breasted Sandpiper",2012,2024,"Recent-three-generation",-4.78253076173979,-10.0467060658596,0.122572742867099,-43.6197669126709,-71.9324270218077,1.48082947848604,0.9715,0.75425,0.37,0.041,0.0122680529910577,0.0426113479032205,164.692307692308
